latin_name,page,russian_name,family,genus,category_numeric,category_text,distribution,habitat,abundance,limiting_factors,protection_measures,additional_measures,author
Accipiter brevipes,609,Европейский тювик,Ястребиные –,Accipiter,3,"БУ, III","Хопра (Белик, 2003в; Белик и др., 2014). В то же время популяция Восточного Предкавказья активно расселяется на северо-запад по Ставропольскому краю и Калмыкии (Белик, 2014д). Медленное расселение на север и восток происходит, по-видимому, также в Заволжье и Приуралье (Захаров и др., 1998; Давыгора, 2002; Бородин, 2015). Вне России населяет Юго-Восточную Европу, Переднюю и Малую Азию, Иран, Казахстан. Зимует в Африке. Эндемик юго-западной Палеарктики. Распространён преимущественно в лесостепной и степной зонах – в речных долинах бассейнов Дона, Нижней и Средней Волги и Урала к северу до Курска, Тамбова, Пензы, Ульяновска, Уфы, до южных районов Челябинской обл. и востока Оренбургской обл. (Белик, Ветров, 1998; Захаров и др., 1998; Давыгора, 2002), а также в Калмыкии, в Центральном и Восточном Предкавказье и в предгорьях Дагестана (Белик, Ветров, 1998; Друп и др., 2005; Джамирзоев, Букреев, 2009б; Музаев, 2013а). В последние десятилетия популяции бассейна Дона на северо-западной границе ареала сильно деградировали, и вид практически исчез в долинах Северского Донца, Верхнего Дона и","сов, 2010; Белик и др., 2011а; Музаев, 2013а). В поймах рек охотно селится в рекреационных зонах с вытоптанными полянами. В кладке обычно 4, реже – 3 или 5 яиц; возможны повторные меньшие кладки. Из гнёзд вылетает в среднем 3,3 слётка (Belik, Vetrov, 1992; Белик, Ветров, 1999). Питается преимущественно ящерицами, а также мышевидными грызунами, слётками птиц, иногда – массовыми видами насекомых (стрекозами, саранчой и др.). В целом тювик весьма скрытен и малозаметен, но в период вылета слётков, отличающихся крикливостью, может привлекать к себе внимание людей и хищников. Однако для слётков предкавказской популяции более характерна молчаливость. К гнездованию часть особей приступает уже в годовалом возрасте. На миграциях и зимовках придерживается мозаичных лесостепных ландшафтов. Мигрирует через Кавказ поодиночке широким фронтом. Гнездится на деревьях, обычно каждый год строя небольшое новое гнездо из сухих прутьев. Заселяет преимущественно светлые прирусловые пойменные леса из тополя чёрного с многочисленными сухими полянами, реже ветлятники и дубняки на супесчаном аллювии. В долинах небольших рек гнездится близ песчаных террас или в аренных лесах на этих террасах. Изредка встречается в байрачных и нагорных лесах, особенно если они приурочены к выходам песков (Белик, 1986; Белик, Ветров, 1998). В Восточном Предкавказье и Калмыкии нередко заселяет лесополосы, лесопарки, сады и парки городов и сёл (Друп и др., 2005; Федосов, 2006, 2013а; Джамирзоев, Букреев, 2009б; Белик, Федо-","пировка приурочена к Волго-Ахтубинской пойме, где обилие птиц в северных районах достигает 1 пары/100 га или 1 пары/1 км берега основного русла. Однако в последние годы, после заселения пойменных лесов Волги тетеревятником, здесь тоже началось снижения численности тювика (Белик, 1994, 2017а; Гугуева и др., 2008; Белик и др., 2014). Общая численность европейской популяции, включая Турцию, в конце ХХ в. оценивалась в 4,1–4,9 тыс. пар, из которых около 3 тыс. пар обитало в России (European bird populations…, 2000). В начале ХХI в. численность тювика в России составляла 2–3 тыс. пар (Мищенко и др., 2004; Белик, 2005а; Галушин, 2005), в том числе более 300 пар – в Ростовской обл., более 200– 300 пар – в Волгоградской, 250–450 – в Саратовской, 200–300 – в Самарской, 80–100 – в Оренбургской, 60–80 – в Ставропольском крае, 25–30 – в Дагестане (Белик, 1996, 2017а; Джамирзоев и др., 2000; Давыгора, 2002; Антончиков, Пискунов, 2003; Чернобай, 2004а; Друп и др., 2005; Карякин, Паженков, 2008б). Но в этот период в бассейне Дона наметилась резкая депрессия популяций, и вид практически исчез в Воронежской обл., значительно сократил численность в Ростовской и Волгоградской обл. (Белик, 2003в, 2014е; Соколов, 2011б; Белик и др., 2014). В 2002 г., по сравнению с 1986– 1997 гг., в 5–6 раз сократилась и численность птиц, мигрировавших на зимовку в Африку (Белик, 2003в). Лишь в Восточном Предкавказье популяция быстро увеличивалась и достигла в Дагестане 100–150 пар, а в Ставропольском крае – 150 пар (Джамирзоев, Букреев, 2009б; Ильюх и др., 2013; Джамирзоев, Джигерова, 2020). В настоящее время на юге России гнездится не менее 700–1000 пар (Белик, 2014г), а общая численность в России может быть оценена в 2,0–2,8 тыс. пар (Федосов, Соколов, 2020). Наиболее крупная груп-","Решающее воздействие на численность тювика в последние десятилетия оказало хищничество тетеревятника, интенсивно расселяющегося сейчас по лесонасаждениям степной зоны с северозапада. Особенно страдают от него птенцы и слётки (Белик, 2003в и неопубликованные данные). Успех размножения и плодовитость зависят, по-видимому, от погодных условий, влияющих на активность рептилий в период откладки яиц и выкармливания птенцов, что отражается на общем состоянии популяций (Белик, Ветров, 1999). Негативно сказываются также пестициды и родентициды, применяемые в лесах и садах (Федосов, 2006). В середине XX в. серьёзное негативное воздействие на численность оказали гидростроительные работы на Дону и Волге, лишившие птиц их гнездовых территорий в затопленных пойменных лесах. В открытых ландшафтах во время миграций одним из факторов смертности является гибель от электрошока на железобетонных опорах ЛЭП средней мощности.","Необходим контроль за состоянием местообитаний, прежде всего – пойменных и аренных лесов в долинах южных рек, предупреждение их сплошной вырубки. В Волго-Ахтубинской пойме, где сейчас сосредоточена крупнейшая гнездовая группировка, необходимо ограничение использования пестицидов, токсичных для теплокровных животных. Важное значение имеет проведение просветительской и разъяснительной работы среди местного населения и охотников. Дополнительная территориальная охрана не требуется.",,В.П. Белик.
Accipiter gentilis albidus,611,Камчатский тетеревятник,Ястребиные –,Accipiter,1,"У, II","на пролёте, в Приморье – зимой (Глущенко и др., 2016а). Залёты известны на Командоры (Лобков и др., 2021), в Даурию (Дементьев, 1951а). За пределами России отмечен зимой в Японии (Brazil, 1991), в самых северных районах провинции Хейлундзян в Китае (De Schauensee, 1884) и в периоды сезонных миграций на некоторых из западных Алеутских о-вов (Gibson, Byrd, 2007). Общие очертания ареала не претерпели изменений, но внутриГнездовой ареал проареальное размещение и встречаемость подстирается от междуречья Лены и Яны в Якувида за последние десятилетия сокращаются. тии до бассейна Анадыря на Чукотке (Степанян, 2003; Нечаев, Гамова, 2009). Вдоль тихоокеанского побережья на юг распространён через Корякское нагорье до п-ова Камчатка (Лобков, 1986, 2006а; Лобков и др., 2021), а в континентальной части ареала, вероятно, до южных районов Верхоянского хребта (Якутия) и северо-западного побережья Охотского моря (Степанян, 2003; Нечаев, Гамова, 2009). В гнездовой ареал входит вся территория Магаданской обл. (Кречмар, 2008в), включая Колымское нагорье (Кищинский, 1968), но размножение в более южных районах области (например, в приохотской равнинной лесотундре в бассейне Кавы) не доказано (Кречмар, 2014). Южные границы распространения не ясны. Отмечается в большинстве субъектов российского Дальнего Востока, но характер обитания в разных субъектах – разный. На Курильских о-вах (Сахалинская обл.) встречается только в периоды сезонных миграций и зимой (Нечаев, 2005б). На о. Сахалин был отмечен и летом (Нечаев, 1991, 2005б), но, судя по всему, это залёт, так как местная популяция принадлежит иному подвиду. В Нижнем Приамурье (Хабаровский край) (Бабенко, 2000) отмечен","строить гнёзда в конце апреля или начале мая (Камчатка), в некоторых случаях (Магаданская обл.) в конце мая (Кречмар и др., 1991; Krechmar, Probst, 2003; Лобков, 2004, 2006а, 2018а). Откладка яиц в мае, птенцы вылупляются в июне, молодые поднимаются на крыло с середины июля, обычно в конце июля – начале августа, самостоятельными становятся к началу сентября. До конца сентября выводки держатся в 1–2 км от гнездового участка. В кладках 3–5 яиц. Птенцы находятся в гнёздах 40–45 суток. В выводках 2–4, в среднем 2,8 молодых (Лобков, 2018а). Спектр питания разнообразный и включает птиц, в том числе гусей и каменного глухаря, успешно добывает зайцев-беляков (Лобков, 2004, 2006а). Наличие доступной пищи нередко определяет размещение и численность во внегнездовое время (Андреев и др., 2006). На Камчатке зимой чаще держатся возле населённых пунктов, бытовых свалок, где ловят сизых голубей и чёрных ворон, а также у водоёмов, где зимуют гусеобразные (Жуков, Лобков, 2017), вслед за куропатками поднимаются в субальпику и высокогорье. Большая часть птиц на Камчатке ведёт оседлый либо кочующий образ жизни. Тетеревятники из северных районов Камчатского края могут откочёвывать осенью через мыс Лопатка в сторону Курильских о-вов (Лобков, 2004, 2006а, 2018а). Из Магаданской обл. обычно на зиму откочёвывают, но в годы с достатком пищи остаются зимовать (Кречмар, 2008в). Населяет леса, предпочитает заросшие старым лесом речные долины и участки, чередующиеся с полянами, недалеко от опушек. В Корякском нагорье и в бассейне Анадыря вдоль прирусловых ленточных лесов проникает в лесотундру и тундровую зону (Андреев и др., 2006). Мигрирующие птицы часто держатся на морском побережье. Данных о биотопических предпочтениях у белых, серых и промежуточных по окраске особей нет. Гнёзда строит самостоятельно на деревьях, иногда невысоко над землёй. На Камчатке в одном гнезде размножается 3–4 года подряд, новое гнездо может выстроить рядом (Лобков, 2006а, 2018а). В качестве основы для гнезда способны использовать гнёзда чёрных ворон, воронов и других птиц. Размножение растянутое: начинают ремонтировать и","Общая численность в Магаданской обл. предположительно оценивается не выше 2,0–2,5 тыс. особей (Кречмар, 2008в). На Камчатке 40–50 лет общая численность оценивали в 6 тыс. особей (Лобков, 2006а). В течение 1990-х гг. она сократилась примерно на 25–30 % (Лобков, 2006а, 2018а). Согласно расчётам Агентства лесного хозяйства и охраны животного мира Камчатского края, в осенне-зимнее время, численность оценивали в 2014–2019 гг. от 2250 до 3300 особей (Доклады о состоянии окружающей среды в Камчатском крае в 2014-2019 гг.). В течение последних 10–15 лет зимой отмечали значительное сокращение количества встреч птиц светлой вариации в Приморье (Глущенко и др., 2016а), что может быть следствием сокращения численности в местах размножения.","множения, вырубка лесов в речных долинах, а также отлов с целью продажи и использования в качестве ловчих птиц (Кречмар, 2008в). На Камчатке важной (местами решающей) причиной негативного тренда стало браконьерство в целях вывоза тетеревятников за пределы края (Лобков, 2006а, 2018а). Пресс браконьерства стал наиболее очевидным с конца 1980-х и особенно с 1990-х гг. (Лобков, 2006а). За год с Камчатки вывозят около 50 особей (Гордиенко, Нечитайлов, 2000). Предпочтение при отлове и торговле отдаётся именно светлоокрашенным (прежде всего, белым) птицам, отличающимся, как правило, крупными размерами (среди них больше самок) и эффектным внешним видом, напоминающим кречетов (Лобков, 2006а). По данным за 2014–2019 гг. должностными лицами Агентства лесного хозяйства и охраны животного мира Камчатского края наряду с кречетами изымают у браконьеров до 2–5 тетеревятников за сезон (Доклады о состоянии окружающей среды в Камчатском крае в 2014–2019 гг.). В Магаданской обл. важными лимитирующими факторами признаются дождливая погода в период раз-","В качестве дополнительных мер охраны необходимо восстановить региональный заказник «Река Белая» в бассейне Пенжины, на территории которого сосредоточена одна из крупных гнездовых группировок подвида (Лобков, 2011).",,Е.Г. Лобков.
Acipenser baerii,307,Сибирский осетр,Осетровые –,Acipenser,2,II,"в реки Белая и Иркут (Лукьянчиков, 1967б). В басс. оз. Байкал обитает как в самом озере до глубин 200 м, так и в крупных притоках. В р. Селенге поднимается на 1000 км, заходя в притоки Чикой, Орхон, в р. Баргузин – более чем на 300 км, в р. Верхняя Ангара – на 100– 150 км (Егоров, 1961). В р. Пясине малочислен (Дрягин, 1949), в Пясинском заливе не обнаружен, отмечен в озерах бассейна р. Пясины – Лама и Мелкое (Белых, 1940; Логашов, 1940). В последние годы в бассейне Пясины почти исчез, очень редко встречается в истоке р. Ламы (Савваитова и др., 1994). В басс. Хатанги распространен от устья р. Хеты до Хатангской губы, включая последнюю. В р. Хете, левом притоке Хатанги, населяет участок реки длиной 460 км от устья до посёлка Волочанка (Лукьянчиков, 1967а). Встречается в пойменных озерах Ха(Рубан, 1999). После зарегулирования Иртытанги выше устья Хеты. Основным местом ша ареал сократился – ныне осётр встречаетобитания в хатангском бассейне являются ся только от устья реки до Усть-Каменогорсредние и верхние участки р. Хеты в 350 км от ского вдхр. включительно (Попов, 2012). В устья реки (Лукьянчиков, 1967б). В р. АнабаТазовской губе распространён повсеместно. ре встречается в среднем и нижнем течении В р. Таз поднимается до 300 км от устья. В (Кириллов, 1972). В р. Оленьке крайне малор. Пур населяет нижний участок протяжёнчислен и вверх по реке поднимается обычно ностью 100 км (Чупретов, Слепокуров, 1979). до устья р. Пур и, как исключение, – до устья Современное тазовское стадо следует рассмаручья Чемуудах в 1020 км от устья Оленька тривать как часть обского (Вотинов, 1963). (Кириллов, 1972). В р. Яне малочислен (ДряСеверной границей распространения в гин, 1949) и распространён от Верхоянска р. Енисей считается бухта Широкая Енидо авандельты (Кириллов, 1972), чаще всего сейского залива, а южной до строительства встречается в районе пос. Кулар (Северный) ГЭС считалось село Означенное (ныне Сая(Рубан, 1999). В р. Индигирке обитает от усногорск). Расстояние между этими точками, тья до поселка Крест-Майор (850 км от устья), В Обь-Иртышском по разным сведениям, составляет от 3130 км единично доходит до Зашиверска (Кириллов, басс. сев. граница проходит в Обской губе у (Подлесный, 1955) до 3215 км (Подлесный, мыса Дровяной (Дрягин, 1948а, 1949; Рубан, 1955, 1972). В р. Алазее зарегистрирован еди1963). Выше Красноярска (2454 км от устья нично, до впадения в нее правого притока 1999). В самой Оби осетр встречается на всем Енисея) встречался очень редко (Подлесный, Бор-Юрях (Дрягин, 1933). В р. Колыме населяее протяжении (3680 км) до слияния рр. Бия 1963). Ныне он изредка встречается в Красноет участок от стыка дельты с морем до заимки и Катунь. Ранее по Катуни поднимался на 50– ярском вдхр., но в Саяно-Шушенском и выше Сеймчан, т.е. несколько более 1500 км (Дря70 км, в р. Бия держался только в устьевой чанего – отсутствует (Попов, 2012). В крупных гин, 1933), известна поимка осетра в 1665 км сти (Дрягин, 1948а, 1949; Петкевич и др., 1950). притоках Енисея – Ангаре, Подкаменной и от устья реки (Копосов, Чекалкин, 2009). В Отмечен в Телецком озере (Берг, 1948б). К наНижней Тунгуске есть небольшие жилые притоках Колымы осетр встречается только стоящему времени произошло сокращение стада (Подлесный, 1955). Заходит и в предв реках Коркодон и Ожогина (Дрягин, 1948б). ареала в басс. верхней Оби. Ныне он не встреустьевые участки притоков среднего Енисея – чается в рр. Бия и Алей, а в Катуни – выше реки Туба, Абакан, известен в низовьях прис. Сростки (53 км от устья) (Соловов, 1997). токов Нижней Тунгуски. В Ангаре до поОбитает в притоках Оби: рр. Чулым, Частройки плотин был распространён от устья рыш, Надым, Иртыш (в том числе в притоке до впадения в нее р. Белой в 140 км от истока Иртыша – р. Тобол и притоках последнего – Ангары (Дрягин, 1949). Известно несколько рр. Тура и Тавда); встречается иногда в устьях случаев попадания молоди осетра в истоке других крупных притоков – Полуй, Сыня Ангары и в районе Иркутска (Егоров, 1961, и др. (Дрягин, 1948а, 1949). В р. Чулым рас1963). Встречался в притоках Ангары – реках пространён на протяжении 1300 км от устья Тасеева (и ее притоке Чуне) и Ока (Егоров, (Хохлова, 1953). В Иртыше осетр встречал1963). Есть в Иркутском, Братском и Усться на всем его протяжении до оз. Зайсан и Илимском вдхр. (Попов, 2012). В Братском р. Черный Иртыш, в последнем был известен вдхр. распространён повсеместно вплоть до и на территории Китая до впадения р. Крен верхних участков рек Ока и Ангара, заходит","вую (Вотинов, 1963). По характеру питания бентофаг, для него характерно отсутствие избирательности питания – состав его пищи отражает состав бентоса на местах нагула. В отдельных популяциях (р. Алдан, Индигирка, оз. Байкал) значительную часть рациона составляет рыба (Егоров, 1941; Рубан, 1999). Размножение происходит на песчано-галечниковых и галечниковых грунтах на глубине 4–8 м при скорости течения 2–4 км/час (Егоров, 1941; Подлесный, 1955; Вотинов, 1963; Соколов, Малютин, 1977; Рубан, 1999). Нерест в Оби происходит в конце мая – июне при температуре воды 12–18 °С (Вотинов, 1963). В нерестовом стаде самки составляют 55–60%, самцы 40–45% (Вотинов, 1963). Масса обского осетра до 210 кг (Берг, 1948б). Абсолютная плодовитость от 79 тыс. до 1459 тыс. икринок. Созревание самцов происходит в возрасте не менее 9 лет. Самки созревают в возрасте не менее 16 лет. Периодичность нереста самцов 1 раз в 3 года, самок – 1 раз в 5 лет (Вотинов, 1963). В Енисее нерест происходит в июнеиюле при температуре воды от 16 до 21 °С. Плодовитость варьирует от 83,2 до 607,6 тыс. икринок; периодичность нереста самцов 1 раз в 4 года, самок – раз в 5 лет (Подлесный, 1955). Байкальский осётр достигает половой зрелости в возрасте 15 (самцы) и 20 лет (самки); он нерестится с середины мая по середину июня при температуре воды от 9 до 15 °С, его плодовитость составляет 211–832 тыс. икринок (Егоров, 1941). Размножение осетра в нижнем течении Индигирки происходит в июле – начале августа при температуре воды 13–16 °С. Половой зрелости осётр Индигирки достигает при минимальных для вида размерах и возрасте: самцы в возрасте 9–10 лет при массе тела 1,5–2 кг, самки в возрасте 11–13 лет при массе тела 2 кг, плодовитость – 105,5– 245,3 тыс. икринок (Рубан, 1999). Нерест осетра в Колыме происходит с конца июня до конца июля при температуре воды от 16 до 21 °С (Рубан, 1999). Колымский осётр созревает в возрасте около 16 лет при массе тела В большинстве рек обитает преимущеоколо 2,2 кг, его плодовитость 65,6–227,8 тыс. ственно в среднем и нижнем течении, заходит икринок. Соотношение полов у сибирского в опреснённые приустьевые участки, заливы, осетра близко к 1:1, но иногда может нескольгубы. В Обь-Иртышском бассейне основные ко сдвигаться в пользу самок (Рубан, 1999). места нагула находятся в Обской губе, дельте и нижнем течении реки. В р. Обь совершает миграции большой протяженности в связи с ежегодными зимними заморами. Ежегодная весенняя миграция из губы вверх по реке (в ней участвуют все возрастные группы) является нагульной и лишь для половозрелых особей впоследствии перерастает в нересто-","ском и енисейском бассейнах. Вылов осетра в Оби достигал 1400 т в 1935 г., в Енисее – 504 т в 1934 г., в Яне – 1,1 т в 1943 г., в Индигирке – 16,9 т в 1955 г., в Колыме 19,2 т в 1954 г. В 1990-е годы вылов осетра в Яне, Индигирке и Колыме в среднем составлял около 0,4 т. В Оби с 1968 г. происходило неуклонное и быстрое сокращение численности, связанное как с нерациональным промыслом, так и с многократным сокращением естественного воспроизводства, вызванным гидростроительством (Новосибирская ГЭС на Оби и каскад водохранилищ на Иртыше) (Вотинов и др., 1975). В 1995 г. улов осетра в целом по Обскому басс. составил 11,5 т, объём нелегального вылова оценивался в 250 т (Ruban, 1996). Уловы сибирского осетра по отношению к общему количеству добываемых в России осетровых всегда были невелики (Дрягин, 1949; Вотинов и др., 1975; Гундризер и др., 1983; Егоров, 1988). Максимальные уловы были в тридцатые годы ХХ в., суммарно достигая в отдельные годы 1700 т (Рубан, 1999). Наибольшие уловы были в об-","ния численности и неоднократного введения запрета промыла осетра в Енисее послужил его нерациональный промысел, приведший к перелову. Плотины ГЭС (Новосибирская на Оби; Бухтарминская, Усть-Каменогорская, Шульбинская на Иртыше; Красноярская и Саяно-Шушенская на Енисее; Иркутская, Братская, Усть-Илимская, Богучанская на Ангаре), перекрывшие миграционные пути, уничтожившие нерестилища, изменившие гидрологический режим рек; широкомасштабный нелегальный вылов; загрязнение рек, вызывающее множественные нарушения в развитии гонад, снижающие плодовитость, вплоть до полной стерильности самок (Рубан, 1999). Причиной сниже-","Территориальным управлениям Росприроднадзора и Росрыболовства более рационально и обоснованно направлять компенсационные средства для повышения эффективности искусственного разведения сибирского осетра и контролировать выпуск в реки молоди данных речных бассейнов; запретить в басс. Средней и Верхней Оби зимний лов налима крючковой снастью, при котором неизбежен прилов осетровых рыб (Соловов, 1997).",,Г.И. Рубан.
Acipenser mikadoi,309,Сахалинский осетр,Осетровые –,Acipenser,1,"КР, I","режья Краснодарского края и Крыма, в басс. Каспийского моря поднимался в реки Урал, Волга, Терек и Самур (Федорович, 2014б; Абдусамадов, Рабазанов, 2020). В р. Урал поднимался выше г. Орска (Чибилёв, 2019д). В Волгу современные заходы крайне редки и ограничиваются дельтой и нижней частью (до Волгоградской плотины), но до постройки плотин известен случай поимки в районе г. Казани (Берг, 1948г) и имеются данные, требующие более основательного подтверждеИсторический ареал ния, о встречах шипа в прошлом в пределах охватывал бассейны Чёрного, Азовского, КаНижегородской и Владимирской обл. (Пузаспийского и Аральского морей. В 1933 г. иннов и др., 1955). В р. Терек ранее встречался тродуцирован из Аральского моря в оз. Балдо г. Моздока (Анисимов, 1989). хаш. В России в басс. Азовского моря заходил в реки Дон и Кубань, в Кубани поднимался до устья р. Лабы (Грюнберг, 1913; Чебанов и др., 2017). В Черном море встречался вдоль побе-","ных участках морей (до глубины 50 м), где нагуливается, питаясь рыбой и моллюсками. Имеет яровую и озимую формы. Молодь может проводить в реке 2–4 года, некоторые особи остаются в реке до созревания, образуя «жилые» популяции (Чебанов и др., 2017). Достигает длины 2,2 м и массы 80 кг, обычно не более 1 м и 20 кг. Самцы созревают в возрасте 6–9 лет, самки – 10–14 лет. Нерест в мае – июне при температуре воды не ниже 10–11 °С. Размножается на участках рек с галечным грунтом при скорости течения 1,2–1,9 м/с, на глубинах 0,7–2,0 м. Отличается самой большой из всех видов осетров абсолютной плодовитостью, которая составляет 280– 1290 тыс. икринок (Аветисов, 1992). Нерест неежегодный. Самки участвуют в нересте через 2–3 года, а самцы – через 1–2 года (Gesner et al., 2010а). Растет молодь довольно быстро, достигая в годовалом возрасте длины 23–29 см и массы 40–60 г. Каспийский шип живет до 30 лет и более. Проходной вид, но может образовывать туводную (чисто пресноводную) форму. Большую часть жизни проводит в прибреж-","х гг. в р. Урал в пределах Казахстана (в российскую часть доходили только единичные производители) ежегодно вылавливалось до нескольких тонн шипа, но с 2007 г. он практически исчез (Исбеков и др., 2018; Бекбергенова, 2021). В Куре в период с 1922 по 1930 г. уловы колебались от 2,5 до 6 тыс. экз. Сейчас могут встречаться только единичные экземпляры. В настоящее время в каспийском бассейне естественное воспроизводство отсутствует, а численность на минимальном уровне поддерживается только искусственным разведением. Отсутствие в течение последних десятилетий естественного размножения из-за зарегулирования нерестовых рек и интенсивного незаконного вылова; отсутствие эффективного искусственного воспроизводства вследствие большой редкости производителей. Для вида характерна повышенная уязвимость к вылову из-за невысокой естественной численности В бассейнах Черного и и более долгого, чем у других проходных Азовского морей всегда был редким видом. В осетровых, пребывания молоди в реках (чем настоящее время в бассейне Азовского моря больших размеров достигает молодь в реках, полностью исчез (Чебанов и др., 2017). В бастем в большей степени она изымается бракосейне Черного моря наибольшая популяция ньерами). была приурочена к Дунаю, последние случаи поимки здесь относятся к 2003 и 2005 гг. (Gesner et al., 2010а). Долгое время считалось, что последний случай поимки шипа в р. Риони (Грузия) был в 1999 г., но в 2020 г. было поймано несколько молодых особей, что косвенно свидетельствует о возможности естественного воспроизводства шипа в этой реке (М.С. Чебанов, личн. сообщ.). Если это так, то р. Риони, вероятно, последнее место в бассейнах Черного и Азовского морей, где ещё сохранилось естественное воспроизводство вида. В басс. Каспийского моря исторически наибольшие популяции были приурочены к рекам Кура, Урал, Сефидруд. В Тереке, Самуре и Волге всегда был малочислен. В настоящее время в Тереке и Самуре не встречается, в Волгу заходит крайне редко единичными экземплярами (Федорович, 2014б). В начале 1950-х гг. в р. Урал добывали до 200 экз. в год (Чибилёв, Дебело, 2009). В начале 1960-х гг. нерестовая популяция в р. Урал оценивалась в 500 экз. (Чибилёв, 2019д). В конце 1990-","Главным фактором является браконьерский вылов в период захода производителей на нерест в реки. Также существенное негативное влияние оказывают: загрязнение нерестовых рек нефтепродуктами и отходами в результате добычи ценных металлов, последствия заготовки леса и лесосплава (русла рек бывают плотно забиты затонувшими бревнами), прилов неполовозрелых особей в низовьях рек при промысле лососевых. Из естественных факторов нужно отметить обязательное наличие в нерестовых реках эстуарной зоны для адаптации молодых особей к переходу к морскому образу жизни и неежегодный нерест взрослых особей.",Необходимо масштабное искусственное разведение с использованием генетической сертификации производителей и международное сотрудничество в разведении и охране.,,Н.И. Шилин.
